Young_mudulus_particle,Young_mudulus_bond,sigma_max_bond,cohesion_ini_bond,strength_max,strain_max,young_modulus_max
58782559857,60477075714,93559056,51581981,0,0,0
98719185407,56634628496,74213742,2364411,0,0,0
76735021299,39590537334,35398837,70407005,192278000,0.789904,30753800000
82601307786,23011906006,59904420,6851143,25926600,0.233368,16091200000
7729427269,20630181995,22028787,80531100,147077000,1.99275,9950630000
28665691525,52750357193,76477998,77614326,0,0,0
69845041306,86354528085,81778463,34719887,0,0,0
94174679199,58869743767,85214778,32110887,0,0,0
85984288710,77052993094,86399107,32778857,0,0,0
8298644230,99051704095,21680622,99881366,0,0,0
24129130727,26010784904,13488286,1275624,4983200,0.107706,5981530000
10808209270,60357047484,18953924,34612371,0,0,0
30244858762,78613286585,23642159,25165159,0,0,0
22077396058,3897255392,58041928,53201423,91243200,1.99275,5382640000
27450303948,71681684972,63177828,38393849,0,0,0
55261091900,16527666610,56175673,89657426,279690000,1.83116,19578700000
48635257340,26012475154,33001709,36859986,117912000,0.789904,20427700000
30066083745,23564391768,93633541,69633381,229338000,1.61573,20851600000
58154210131,33507951712,33010936,67573624,185938000,0.897621,26453700000
30430978055,96148209238,81319958,70000770,0,0,0
58453772282,32559853776,83614969,66050273,220725000,1.13101,29822500000
2179819648,30650525497,54409305,61782210,63463700,1.99275,4597910000
56330617638,25253239378,14421937,31094661,86072200,0.574471,18772100000
92677002104,2026398822,26612516,98462422,120218000,1.99274,7273810000
93747533510,8309667069,23347914,90245538,221113000,1.99274,14108400000
89941073523,9284961043,97155537,36008672,157298000,1.4003,67784100000
8757859410,27381983421,71119915,50926902,149402000,1.88504,11777800000
51528184012,83857300819,18719172,43609944,0,0,0
98094071045,60259998359,11997019,40092531,0,0,0
17898014519,10098606633,24025190,35608434,106304000,1.54393,9400010000
66722605547,39643710902,4158777,93945550,176768000,0.82581,27642500000
52058977967,28680401773,31960278,40116781,120917000,0.753998,21716700000
95926857481,72410715504,36760888,15450575,0,0,0
41335323368,23901793602,82684556,19922028,70789600,0.646282,15607700000
63513310092,90399044586,90779370,55775523,0,0,0
32726679527,19029290972,10363843,42681767,100068000,0.897621,13608600000
74042018449,69846059866,66029772,9965029,0,0,0
87907927102,64851619470,30978424,97167088,0,0,0
65626114194,7158206548,50066949,34859751,139728000,1.56187,12020400000
89214783273,81826915621,87586835,44169197,0,0,0
4858649310,50776581081,87074494,37977890,0,0,0
26614722275,66016777599,47629674,73136109,0,0,0
73920049245,87102542113,97024463,55495055,0,0,0
73979688423,17336563058,87042640,74318787,259602000,1.56187,23934100000
60689684909,61252269885,2305789,6306845,14036500,0.107699,16036100000
15855835807,9801944952,73665469,25661536,95195100,1.61574,7875670000
46277134472,64147269889,57942899,13954107,0,0,0
43917794637,54928631948,50805951,9859321,0,0,0
45436005244,24876352728,78871326,20095294,71555500,0.610376,16392200000
26129556193,81380234378,51167884,73724699,0,0,0
70710591656,59264889538,96428159,86434783,0,0,0
45714193817,5317197713,92660961,67952027,145391000,1.99274,8667390000
4956687898,77912396422,9797291,2669374,0,0,0
65049111719,66932788829,40079296,9107290,0,0,0
59086018996,29880983326,68003098,63032953,210501000,1.0592,24740700000
15208709796,80731665749,82253309,30693026,0,0,0
78270339654,27473359728,85880721,55588528,197478000,0.987384,26032800000
95239200221,40502202104,44374172,25840468,89282500,0.412896,28192500000
1804666609,49121292868,10732923,78033248,56339000,1.99275,4128160000
89895802345,13260714417,23175226,61885004,169242000,1.23872,16468700000
85577067536,35877733460,23370340,63653352,164954000,0.718093,30980600000
98438503118,31653152342,69136615,66908835,220732000,0.915573,31534300000
44886135687,20022307417,99747110,66299897,236676000,1.61573,18882500000
47825380712,7576504300,17983148,51301581,136172000,1.65164,10119700000
3665153306,66400367192,50541209,54005374,0,0,0
37197066186,31003139515,10522665,38679788,88599900,0.628329,17972300000
63659441935,52653777457,41365453,7505312,0,0,0
41367266065,94214103153,11761594,42735801,0,0,0
99029355092,55022424722,62182979,72909669,0,0,0
60150940950,63680031003,13685147,65066116,0,0,0
57862544416,13771355970,94966012,77182148,273013000,1.99274,17085100000
96987447648,11810299150,54918641,85062740,273717000,1.84912,18258900000
65104679110,92307620554,8987198,76989236,0,0,0
52239923049,86316486452,26089572,88657786,0,0,0
52965701111,5432630231,92626754,62299751,155894000,1.99274,9359090000
37759582074,82079899832,3853604,45338492,54755300,0.359037,19475900000
49280850231,35346650902,38707946,77604428,204561000,1.00534,26513400000
80268788596,66216919902,45559311,8180671,0,0,0
41470897493,35581900967,96350028,43636245,152324000,0.969432,22914500000
55108550679,98303486750,30618056,53444882,0,0,0
37714539486,44659426609,58761580,85384119,0,0,0
4936420186,33845621718,23836667,31494845,79573000,1.50803,7619600000
57715662180,49242362862,23279598,52509053,0,0,0
85956424608,77312462723,74352884,95431178,0,0,0
21957573326,45320526926,32126778,75892017,187073000,1.25668,21601900000
34310885024,79355031738,34773089,65935501,0,0,0
51167297895,30394489141,60265951,32916141,114931000,0.753998,20415600000
81749368152,25523754486,9467665,58395977,122698000,0.664235,21536500000
16270151605,1392396905,33959054,88392777,43193600,1.99275,2601580000
36295439121,53163183651,85372825,54280877,0,0,0
76896602620,24233166079,99661440,19713257,73278400,0.50266,18700900000
96434645916,51942534187,91190611,81625196,0,0,0
13895581780,20067546907,93250446,62695790,189546000,1.99275,13440500000
74799023025,53837280161,55963836,93831531,0,0,0
64377860249,54793604968,51480521,56638752,0,0,0
98152402709,15214345935,95267029,27305527,113998000,0.843762,16926400000
78796917808,91993433664,16657173,63621652,0,0,0
57459247828,7389793267,40702562,84755359,193403000,1.99274,11376800000
18126905478,59623718371,98782095,42684240,0,0,0
2254253393,46489746110,67216802,18416073,0,0,0
50310639319,48615044600,18612608,65201776,146460000,0.682187,27103700000
90889489868,15105747638,3508634,25689927,59194600,0.484707,13853600000
63900641756,66391304253,90624469,61906214,0,0,0
75368457124,24331199166,89140806,2640867,10440900,0.107699,12249900000
19505879557,667037324,11898247,36973088,32249100,1.99275,2018650000
27659311545,35110047665,55132911,26687545,92475100,0.789904,16705000000
39256896675,80998469301,31072226,68451400,0,0,0
65943491703,37431126204,2219103,78155184,144772000,0.718093,25131500000
95208708827,81661183196,97337669,36014198,0,0,0
86846236393,21014306812,1107555,28170699,57974300,0.430849,16796400000
37516752987,13498451894,58693169,45516606,163862000,1.49006,20358200000
73661655632,39161710834,43823484,62677728,178784000,0.753998,31302900000
82159814169,24685339142,87898875,54378434,196048000,1.02329,27753100000
16208963111,29061285136,41584336,76355330,201868000,1.83117,16265600000
84013075392,31416897712,92299019,87157448,289548000,1.18486,30901400000
26439425976,87145107146,21274890,5421638,0,0,0
36176721120,83795160331,98754628,29298672,0,0,0
43659508633,25572434594,80722925,40201568,142559000,1.04124,19606400000
19743600854,53960058299,73273311,66844367,0,0,0
4336726011,60615682071,76177502,52666627,0,0,0
71166934579,73677702929,41821052,16561822,0,0,0
48823709659,15197612393,91480913,4722244,18107500,0.251321,10004500000
33419197701,84939476604,8568232,76297475,0,0,0
89064916629,28092510175,95303666,25848555,97156400,0.556518,22347400000
45131951378,2509631669,67019598,27571996,94383000,1.99274,5830260000
3750053254,58452960188,25944774,21689338,0,0,0
50199931714,53325500694,57212319,50918064,0,0,0
68212101600,11524280844,71963858,42653264,167297000,1.4003,14276000000
36180179903,69255245358,46440245,23588130,0,0,0
93242340605,49491496473,17617796,93494238,0,0,0
69212791968,40789111150,10372418,12503067,36587400,0.251321,19971500000
64940032109,57055203026,76125517,25630216,0,0,0
76505343052,1873764164,48154184,12986767,80853600,1.77731,5976100000
72707788700,28069624194,46291431,54772507,168796000,0.843762,27988000000
65449697331,50166653773,51819930,95098487,0,0,0
8601682749,86382400571,13263490,4945991,0,0,0
59820437495,69999752498,94950060,14758885,0,0,0
12631592015,82747706617,78394913,33322117,0,0,0
40361758529,63494919419,36532963,22623996,0,0,0
17117390495,7380780783,54910426,90753652,126879000,1.99275,7465500000
21706942607,19042208607,70013527,3347170,12383900,0.233375,6862760000
8323777792,97018567450,48372188,45308250,0,0,0
46051950741,86751059948,96064824,40657104,0,0,0
65415067834,10622190624,79814386,85412756,254030000,1.99274,14987700000
95536135565,50254505873,96704695,40634291,0,0,0
15598947786,1082005070,38683339,49648897,36808200,1.99275,2241140000
98133570883,41761776682,78617743,54707681,0,0,0
89169436869,23784068694,51389477,28726722,102644000,0.574471,21306300000
49731481769,73785163748,56901710,16424879,0,0,0
28417571094,87770618480,18642257,11977747,0,0,0
25437506354,8139749084,69589371,85932072,154863000,1.99274,9168490000
75435874714,29895722893,48721327,36225039,123205000,0.628329,24081500000
27703403097,5838977325,95668427,88458607,128437000,1.99274,7536460000
15952720566,86149619636,82606908,75144606,0,0,0
78090656038,50476446888,39347077,92253306,0,0,0
90795853134,80389712607,41195200,42595841,0,0,0
33107226320,27039558703,50783413,25973268,91167900,0.789904,15995000000
36592188686,2586759184,2030608,96283132,67448900,1.99274,3901130000
24317371776,53410478888,60345210,74120938,0,0,0
96912108804,7978151274,18290756,38936309,116410000,1.11305,14370200000
16630803668,62519446595,65380245,30991855,0,0,0
55273739642,88250737910,29561409,48129742,0,0,0
94645112190,65269566971,96887271,13000078,0,0,0
10117805569,15487086213,39950500,48535940,139669000,1.95684,10371300000
58557720824,19491502764,30163015,73564977,199055000,1.27463,18942100000
20635793110,13375913909,3207955,36633351,75288700,1.0233,9224880000
63400432389,94651097846,79783872,92262123,0,0,0
58668492519,31443482115,97029529,36832769,133814000,0.789904,23079200000
5032024292,43675398803,53104123,94292992,0,0,0
54662866716,32924476024,64793889,98173330,290498000,1.36439,28404400000
42397175421,96134089386,27264607,68931048,0,0,0
77063877357,20458251665,92106305,57094002,212614000,1.20282,21783200000
74416453443,44050967391,71476867,46934722,0,0,0
52401551470,4618430143,22915196,13068341,54177500,0.969432,7247610000
69359443922,51098759048,31852334,53541344,0,0,0
88251479369,74365197883,64800377,45959455,0,0,0
40918579131,63411990581,6536585,38751321,68942500,0.412896,22027600000
36041341606,23784433249,99605511,59513055,208269000,1.47211,19028100000
18071718525,76871237330,15621687,48103499,0,0,0
88096212332,641678454,84102718,43464996,74131700,1.99274,4582740000
31670250235,83591976658,76308823,87780260,0,0,0
32024061343,52778888186,60947654,16294969,0,0,0
64598044254,93859320960,6967197,39776914,0,0,0
10326263498,66858169741,17173260,34817259,0,0,0
80833069475,26933774702,59992111,80482597,250499000,1.16691,26859400000
37108482245,86205408878,63711802,86811345,0,0,0
94414499501,49004585172,24059227,1334078,5094580,0.0538404,13519600000
92960363217,1922717066,82052757,63826621,122622000,1.99274,7803300000
39412675888,59247958798,88817954,25784155,0,0,0
65110734480,29389228068,22458451,25750326,82348900,0.50266,20815000000
30491584199,38362771008,8697180,79802035,158299000,1.02329,20370000000
55574512652,58167036133,1355107,86112357,140589000,0.646282,27901900000
22617132990,32864576380,93326813,59946848,199133000,1.56188,19738400000
38405490251,6112391421,37741106,82185169,148542000,1.99274,8804910000
69569382416,19562237030,97518803,14955489,56783300,0.466754,15902500000
84414120795,56534276434,3489763,90757305,152242000,0.610376,32671800000
55855959870,91488783566,2899021,38702062,39530400,0.233368,21345200000
59130107818,90784596186,86022267,15369425,0,0,0
21603410228,38581101356,94991446,12925096,0,0,0
53630938928,25635455113,66326903,3553192,13449600,0.161557,11564400000
